employer_id,period,expected,actual,gap,gap_pct,over_tol,pidx,late_paid,is_gap,run_len
EMP-0001,2025-01,9788000.0,9716000.0,72000.0,0.0073559460563955865,False,24301,False,False,0
EMP-0001,2025-02,9447000.0,9520000.0,-73000.0,-0.007727320842595533,False,24302,False,False,0
EMP-0001,2025-03,9636000.0,9658000.0,-22000.0,-0.00228310502283105,False,24303,False,False,0
EMP-0001,2025-04,10161000.0,10339000.0,-178000.0,-0.017517960830626907,False,24304,False,False,0
EMP-0001,2025-05,10131000.0,10047000.0,84000.0,0.00829138288421676,False,24305,False,False,0
EMP-0001,2025-06,10266000.0,10284000.0,-18000.0,-0.0017533606078316774,False,24306,False,False,0
EMP-0001,2025-07,10412000.0,10553000.0,-141000.0,-0.013542066845946985,False,24307,False,False,0
EMP-0001,2025-08,10744000.0,10680000.0,64000.0,0.005956813104988831,False,24308,False,False,0
EMP-0001,2025-09,10551000.0,10413000.0,138000.0,0.013079328973557009,False,24309,False,False,0
EMP-0001,2025-10,10578000.0,10637000.0,-59000.0,-0.00557761391567404,False,24310,False,False,0
EMP-0001,2025-11,10421000.0,10235000.0,186000.0,0.017848574992802995,False,24311,False,False,0
EMP-0001,2025-12,10244000.0,10310000.0,-66000.0,-0.0064427957828973054,False,24312,False,False,0
EMP-0002,2025-01,5746000.0,5632000.0,114000.0,0.01983988861816916,False,24301,False,False,0
EMP-0002,2025-02,5413000.0,5429000.0,-16000.0,-0.002955847034915943,False,24302,False,False,0
EMP-0002,2025-03,5302000.0,5367000.0,-65000.0,-0.012259524707657487,False,24303,False,False,0
EMP-0002,2025-04,5473000.0,5472000.0,1000.0,0.0001827151470856934,False,24304,False,False,0
EMP-0002,2025-05,5124000.0,5136000.0,-12000.0,-0.00234192037470726,False,24305,False,False,0
EMP-0002,2025-06,5091000.0,5079000.0,12000.0,0.002357100766057749,False,24306,False,False,0
EMP-0002,2025-07,5154000.0,5234000.0,-80000.0,-0.015521924718665115,False,24307,False,False,0
EMP-0002,2025-08,4976000.0,4949000.0,27000.0,0.005426045016077171,False,24308,False,False,0
EMP-0002,2025-09,5081000.0,4263000.0,818000.0,0.16099193072229875,True,24309,False,True,1
EMP-0002,2025-10,5154000.0,4324000.0,830000.0,0.16103996895615055,True,24310,False,True,2
EMP-0002,2025-11,5091000.0,4271000.0,820000.0,0.16106855234727951,True,24311,False,True,3
EMP-0002,2025-12,4972000.0,4171000.0,801000.0,0.16110217216411907,True,24312,False,True,4
EMP-0003,2025-01,10211000.0,10144000.0,67000.0,0.006561551268240133,False,24301,False,False,0
EMP-0003,2025-02,10506000.0,10559000.0,-53000.0,-0.005044736341138397,False,24302,False,False,0
EMP-0003,2025-03,10175000.0,10086000.0,89000.0,0.008746928746928747,False,24303,False,False,0
EMP-0003,2025-04,9956000.0,10141000.0,-185000.0,-0.01858175974286862,False,24304,False,False,0
EMP-0003,2025-05,9938000.0,9959000.0,-21000.0,-0.0021131012276111895,False,24305,False,False,0
EMP-0003,2025-06,10148000.0,10224000.0,-76000.0,-0.007489160425699646,False,24306,False,False,0
EMP-0003,2025-07,9548000.0,9770000.0,-222000.0,-0.023250942605781314,False,24307,False,False,0
EMP-0003,2025-08,10051000.0,10175000.0,-124000.0,-0.012337080887473883,False,24308,False,False,0
EMP-0003,2025-09,10230000.0,10239000.0,-9000.0,-0.0008797653958944282,False,24309,False,False,0
EMP-0003,2025-10,10231000.0,10505000.0,-274000.0,-0.026781350796598574,False,24310,False,False,0
EMP-0003,2025-11,10362000.0,10266000.0,96000.0,0.009264620729588882,False,24311,False,False,0
EMP-0003,2025-12,10245000.0,10212000.0,33000.0,0.00322108345534407,False,24312,False,False,0
EMP-0004,2025-01,4577000.0,4594000.0,-17000.0,-0.003714223290364868,False,24301,False,False,0
EMP-0004,2025-02,4441000.0,4416000.0,25000.0,0.005629362756136005,False,24302,False,False,0
